,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F,M. VB,M. VB,W. WP,W. WP
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
142,Santa Clara (Calif.),114.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
144,Idaho,109.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18,55.5,0,0,0,0
145,Central Michigan,108.75,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
146,Providence,104.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.5,0,0,0,0,0,0
147,Akron,104.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,11.0,67,5,0,0,0,0
147,Southeast Missouri State,104.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,56,13.5,0,0,0,0
149,Cleveland State,102.5,0,0,0,0,67,5.0,0,0,0,0,0,0,0,0,0,0,33,25,0,0.0,0,0,0,0,0,0
150,American,101.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
151,DePaul,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0,0,0,0,0
151,Loyola College (Md.),100.0,0,0,0,0,0,0.0,0,0,9,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
151,Maryland Eastern Shore,100.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
154,Montana State,97.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
155,Eastern Michigan,94.0,49,25,0,0,40,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
