,,,,Final,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
106,Utah Valley,WAC,DI,169.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63.75,0,0,0,0,0,0,0,0
107,Army West Point,Patriot,FBS,168.5,49,25,0,0,0,0,17,25,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Miami (OH),MAC,FBS,168,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Drake,Missouri Valley,FCS,167.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,47,23.5,0,0,0,0,0,0
110,Toledo,MAC,FBS,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
111,Richmond,Atlantic 10,FCS,164,0,0,67,5,0,0,9,53,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,UNLV,Mountain West,FBS,162.1,0,0,62,8.6,0,0,0,0,0,0,0,0,0,0,33,25,0,0,37,34.5,0,0,0,0,0,0,0,0
113,Furman,SoCon,FCS,160.5,0,0,55,16,55,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Delaware,CAA,FCS,159,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Samford,SoCon,FCS,157.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Louisiana,Sun Belt,FBS,156.5,33,37.5,0,0,73,5,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
