,,,,,Baseball,,W. Golf,,M. Golf,,W. Lax,,M. Lax,,W. Row,,Softball,,W. Ten.,,M. Ten,,W. T&F,,M. T&F,,M. VB,,W. WP,,Beach VB,
Rank,Institution,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
128,Miami (OH),MAC,FBS,135.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Portland,WCC,DI,135.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,UC Irvine,Big West,DI,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,5,60,0,0
132,Santa Clara,WCC,DI,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Saint Joseph's,Atlantic 10,DI,131,0,0,0,0,0,0,17,25,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Murray State,OVC,FCS,130,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Western Kentucky,Conference USA,FBS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Navy,Patriot,FBS,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
137,Grand Canyon,WAC,DI,125,49,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,9,25
137,VCU,Atlantic 10,DI,125,17,50,0,0,0,0,0,0,0,0,0,0,0,0,33,25,17,50,0,0,0,0,0,0,0,0,0,0
139,Cincinnati,American,FBS,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Fairleigh Dickinson,Northeast,DI,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0
141,Saint Louis,Atlantic 10,DI,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Texas State,Sun Belt,FBS,123,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0
143,Georgia Southern,Sun Belt,FBS,120,33,37.5,37,33.5,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Southeast Missouri State,OVC,FCS,116.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,30,41.5,0,0,0,0,0,0
145,Butler,Big East,FCS,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Long Beach State,Big West,DI,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0
147,South Dakota,Summit,FCS,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,UC Santa Barbara,Big West,DI,112.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0
149,Kent State,MAC,FBS,111,0,0,55,16.5,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,LIU Brooklyn,Northeast,DI,111,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,New Mexico State,WAC,FBS,110.5,49,25,61,10.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0
152,Colgate,Patriot,FCS,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,San Jose State,Mountain West,FBS,109.75,0,0,5,72.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Northern Illinois,MAC,FBS,109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Southern Mississippi,Conference USA,FBS,107,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,North Florida,ASUN,DI,106.5,0,0,45,27.5,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Florida Gulf Coast,ASUN,DI,105,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Fresno State,Mountain West,FBS,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0
159,Charlotte,Conference USA,FBS,103.5,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8.5,0,0,0,0,0,0
