,,,Baseball,Baseball,W. Golf,W. Golf,M. Golf,M. Golf,W. Lax,W. Lax,M. Lax,M. Lax,W. Row,W. Row,Softball,Softball,W. Ten.,W. Ten.,M. Ten.,M. Ten.,W. T&F,W. T&F,M. T&F,M. T&F
Rank,School,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
169,Wyoming,78.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,11.0,0,0.0
170,Northwestern State (La.),77.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
171,Western Carolina (N.C.),76.0,17,50,47,26.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
172,Bethune-Cookman (Fla.),75.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
172,Cal State-Sacramento,75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,33,25,0,0.0,0,0.0
172,DePaul (Ill.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,17,50,0,0,0,0,0,0.0,0,0.0
172,Florida International,75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,49,25,0,0,0,0,0,0.0,0,0.0
172,George Washington (D.C.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
172,Holy Cross (Mass.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
172,Loyola Marymount (Cal.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
172,Murray State (Ky.),75.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
172,Winthrop (S.C.),75.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,33,25,0,0,0,0.0,0,0.0
181,Florida A&M,72.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52,20.0
182,Idaho,70.5,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,53.5,0,0.0
182,Rhode Island,70.5,0,0,0,0.0,53,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
184,Jacksonville (Fla.),70.0,49,25,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
185,Cal State-Northridge,68.0,0,0,55,18.0,0,0.0,0,0,0,0,0,0,33,25,0,0,0,0,0,0.0,0,0.0
186,Appalachian State (N.C.),66.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
